val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_f1_ham,test_f1_spam,test_f1_smishing,fit_time_s,predict_time_s,dataset,model_key,n_train,n_val,n_test
0.0,0.0,0.6796949664034121,0.9077,0.9832131385976608,0.4042402826855124,0.6516314779270633,0.0,426.2077789627947,MetaSMS,qwen35_35b_moe_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.6799015918991232,0.9094,0.9807808533784601,0.3904382470119522,0.6684856753069577,0.0,2962.512340332847,MetaSMS,qwen35_35b_moe_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.6762039923522551,0.9085,0.981456793115986,0.3801916932907348,0.6669634906500446,0.0,2908.026647398714,MetaSMS,qwen35_35b_moe_few-shot_expert_cot,0,0,10000
0.0,0.0,0.12971877926869826,0.1383,0.08917638904932425,0.10186240973014063,0.19811753902662993,0.0,26.309679774101824,MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.1393930312139182,0.187,0.2616547669046619,0.13088330109606705,0.02564102564102564,0.0,20.865291359834373,MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.2625512884729464,0.3212,0.42446111480391224,0.10893944248638257,0.2542533081285444,0.0,91.7484008166939,MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.3389783642494211,0.4656,0.5984886649874055,0.09703504043126684,0.321411387329591,0.0,84.04480563476682,MetaSMS,olmoe_1b_7b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.06678066780667806,0.1113,0.0,0.0,0.2003420034200342,0.0,780.5392949339002,MetaSMS,deepseek_r1_14b_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.09975351098938069,0.1306,0.05152941176470588,0.047505938242280284,0.20022518296115593,0.0,706.2363164247945,MetaSMS,deepseek_r1_14b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.09827964401010066,0.1182,0.025720409621338414,0.07529411764705882,0.19382440476190477,0.0,918.5228828205727,MetaSMS,deepseek_r1_14b_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.07051019534728305,0.1132,0.004584388949209796,0.006259780907668232,0.2006864161849711,0.0,908.9090462783352,MetaSMS,deepseek_r1_14b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.3897288603825107,0.8328,0.9167878313387764,0.1434878587196468,0.10891089108910891,0.0,39.9232765189372,MetaSMS,mistral_nemo_12b_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.3337619073576077,0.8304,0.9077523213010275,0.043010752688172046,0.050522648083623695,0.0,37.895153135061264,MetaSMS,mistral_nemo_12b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.46978709290698156,0.8488,0.9248791583736139,0.0916030534351145,0.3928790669122161,0.0,69.2699385881424,MetaSMS,mistral_nemo_12b_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.5962069167618237,0.868,0.9471142236174837,0.25263157894736843,0.588874947720619,0.0,103.39444689359516,MetaSMS,mistral_nemo_12b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.7035507231552872,0.9184,0.9786014753398768,0.39156626506024095,0.740484429065744,0.0,154.98379063606262,MetaSMS,phi4_mini_dynamic-few-shot_expert_cot,0,0,10000
0.0,0.0,0.5730103106241559,0.7682,0.8780190785467831,0.2061950993989829,0.6348167539267016,0.0,210.46511785895564,MetaSMS,gemma3_4b_dynamic-few-shot_expert_cot,0,0,10000
0.0,0.0,0.7273932708868612,0.9215,0.9803176160402232,0.4446412754650133,0.7572209211553473,0.0,305.30467078695074,MetaSMS,qwen35_4b_dynamic-few-shot_expert_cot,0,0,10000
0.0,0.0,0.5892822335509232,0.8069,0.9068469769579203,0.25061425061425063,0.6103854730805989,0.0,183.87301280419342,MetaSMS,ministral_8b_dynamic-few-shot_expert_cot,0,0,10000
